"Date","AK","AZ","CA","CO","HI","ID","MT","NM","NV","OR","UT","WA","WY","IA","IL","IN","KS","MI","MN","MO","ND","NE","OH","OK","SD","WI","AL","AR","FL","GA","KY","LA","MS","NC","SC","TN","TX","VA","WV","CT","DC","DE","MA","MD","ME","NH","NJ","NY","PA","RI","VT","GU","MP","PR","VI","Conf_New","Conf_Cml","deaths_New","deaths_Cml","Rec_New","Rec_Cml","Active","time_last_update"
2020-03-07,NA,2,8,NA,NA,NA,NA,NA,NA,4,NA,22,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,5,NA,NA,NA,NA,45,2,NA,NA,NA,NA,NA,NA,101,353,5,19,NA,15,319,NA
2020-03-08,NA,NA,26,NA,1,NA,NA,NA,2,7,NA,34,NA,3,1,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,4,2,4,1,NA,1,1,NA,15,2,NA,2,2,17,2,NA,1,NA,NA,NA,NA,144,497,2,21,NA,15,461,NA
2020-03-09,NA,NA,19,4,NA,NA,NA,NA,NA,NA,NA,26,NA,5,4,2,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,2,6,2,1,NA,5,1,1,1,3,NA,1,3,NA,13,NA,NA,NA,5,36,4,NA,NA,NA,NA,NA,NA,148,645,5,26,NA,15,604,NA
2020-03-10,NA,1,24,5,NA,NA,NA,NA,1,1,1,105,NA,5,8,4,NA,2,1,NA,NA,2,1,1,5,1,NA,NA,9,5,2,2,NA,NA,2,3,4,4,NA,NA,NA,NA,51,1,NA,1,4,31,2,2,NA,NA,NA,NA,NA,291,936,5,31,NA,15,890,NA
2020-03-11,NA,3,20,17,NA,NA,1,4,NA,4,2,99,1,1,6,2,NA,NA,2,NA,1,NA,NA,NA,3,3,NA,1,3,9,NA,10,1,1,1,2,4,NA,NA,1,5,1,3,3,NA,NA,8,43,4,NA,NA,NA,NA,NA,NA,269,NA,6,37,NA,15,NA,NA
2020-03-12,1,NA,21,15,NA,NA,NA,2,NA,5,1,91,NA,2,7,NA,4,10,4,1,NA,5,1,1,NA,2,NA,5,18,11,3,6,NA,7,2,9,2,8,NA,3,NA,3,13,3,1,1,6,112,6,NA,1,NA,NA,NA,NA,393,NA,4,41,NA,15,NA,NA
2020-03-13,NA,NA,49,28,NA,1,3,4,6,6,4,111,1,1,14,3,1,13,5,2,NA,4,8,1,1,11,6,6,33,NA,3,17,5,NA,1,8,16,13,NA,5,NA,NA,15,5,2,1,21,93,19,15,NA,NA,NA,3,1,565,NA,8,49,1,16,NA,NA
2020-03-14,NA,3,39,24,2,4,2,3,8,6,15,74,1,1,18,4,2,8,7,1,NA,3,13,NA,NA,8,6,NA,39,24,2,41,NA,8,6,6,12,11,NA,9,6,2,15,9,NA,NA,19,192,6,NA,2,NA,NA,1,NA,662,NA,7,56,33,49,NA,NA
2020-03-15,NA,NA,49,30,3,NA,1,4,NA,3,4,127,NA,4,29,5,1,20,14,NA,NA,1,11,6,NA,6,10,4,33,33,4,26,4,9,9,7,5,4,NA,6,1,1,26,5,NA,6,29,116,16,NA,NA,3,NA,1,NA,676,NA,6,62,11,60,NA,NA
2020-03-16,2,6,57,29,3,NA,NA,4,26,8,11,135,7,1,12,6,2,1,19,2,NA,NA,13,2,1,14,7,6,11,22,2,33,2,1,5,13,1,6,NA,15,5,1,33,6,14,4,80,221,13,1,8,NA,NA,NA,1,872,NA,14,76,15,75,NA,NA
2020-03-17,3,2,80,23,4,3,2,2,NA,18,12,108,5,6,55,9,5,11,6,8,2,3,17,7,1,25,7,NA,56,25,4,60,9,7,14,21,7,16,1,27,9,8,21,20,15,9,87,424,20,NA,5,2,NA,NA,NA,NA,NA,21,97,32,107,NA,NA
2020-03-18,NA,7,126,33,2,3,3,5,NA,10,12,175,2,9,128,17,5,15,17,7,4,6,21,12,NA,34,15,11,112,51,9,84,13,34,13,25,19,10,1,28,8,10,38,28,10,13,162,NA,37,12,2,3,NA,NA,1,NA,NA,26,123,NA,107,NA,NA
2020-03-19,3,17,77,61,10,12,4,7,50,13,15,189,1,6,134,23,13,254,12,6,12,5,31,15,3,49,27,29,104,90,5,112,16,23,21,56,60,17,3,63,32,4,72,22,10,5,315,NA,52,11,3,4,NA,NA,NA,NA,NA,52,175,2,109,NA,NA
2020-03-20,3,19,331,86,11,8,5,8,14,26,34,148,4,1,163,47,10,215,26,19,7,6,50,5,NA,51,3,34,131,133,7,87,90,40,44,74,51,20,3,35,6,8,85,42,4,11,148,NA,83,10,7,2,NA,9,3,NA,NA,55,230,38,147,NA,NA
2020-03-21,2,41,218,112,11,12,6,14,45,31,24,269,2,23,174,NA,11,238,23,26,2,10,78,4,NA,75,43,22,95,87,7,106,NA,47,48,143,110,38,3,29,21,7,112,41,17,10,437,NA,103,12,20,1,NA,7,NA,NA,NA,68,298,24,171,NA,NA
2020-03-22,8,48,268,116,8,4,7,8,36,16,45,203,2,22,296,75,9,248,31,33,2,2,104,12,7,100,33,47,172,93,45,252,61,71,22,134,30,67,5,104,18,11,121,54,16,13,587,NA,108,17,3,12,NA,2,11,NA,NA,110,408,7,178,NA,NA
2020-03-23,14,82,265,129,21,3,11,18,55,30,76,225,2,15,230,58,15,293,66,77,2,2,91,14,7,35,39,32,397,172,25,335,48,42,103,110,18,35,4,88,21,31,131,44,18,23,930,NA,165,23,23,2,NA,8,NA,NA,NA,111,519,118,296,NA,NA
2020-03-24,6,92,369,192,13,23,6,17,33,18,41,248,9,19,250,106,19,463,27,72,4,9,122,25,2,41,19,21,185,254,33,216,71,101,44,52,58,36,19,203,46,17,382,61,11,7,831,NA,207,18,20,3,NA,8,NA,NA,NA,162,681,83,379,NA,NA
2020-03-25,17,75,433,174,5,50,2,12,43,57,48,111,7,21,330,112,28,501,25,101,3,3,140,58,11,128,68,62,565,221,41,407,57,106,82,117,564,101,12,257,48,15,679,74,24,29,727,NA,276,8,28,5,NA,12,NA,NA,NA,225,906,15,394,NA,NA
2020-03-26,10,107,471,344,11,62,18,24,99,50,56,627,12,34,673,168,42,564,59,146,13,9,163,84,5,122,197,55,506,278,50,510,108,132,32,173,422,69,25,137,30,11,579,157,13,21,NA,NA,560,33,35,10,NA,13,NA,NA,NA,253,NA,NA,NA,NA,NA
2020-03-27,16,157,795,304,14,45,50,55,115,98,78,493,17,56,488,336,34,801,52,168,16,8,270,74,12,135,87,51,843,476,54,441,94,127,83,246,335,144,20,279,43,35,823,194,13,29,NA,NA,531,38,26,4,NA,15,2,NA,NA,433,NA,601,NA,NA,NA
2020-03-28,17,108,842,327,31,31,26,17,86,65,122,610,11,63,465,251,59,993,43,168,26,27,269,55,10,147,129,23,712,445,92,569,84,172,121,170,321,135,17,233,38,49,NA,218,43,27,NA,NA,533,36,27,4,2,21,4,NA,NA,447,NA,766,NA,NA,NA
2020-03-29,12,146,NA,246,24,49,14,29,299,69,117,586,3,38,NA,282,58,836,62,65,4,12,247,52,22,123,131,17,912,237,45,225,95,232,114,164,500,151,11,469,59,18,698,247,42,44,NA,NA,643,55,24,1,NA,27,NA,NA,NA,392,NA,NA,NA,NA,NA
2020-03-30,5,238,NA,320,29,105,16,44,88,58,87,166,8,88,461,272,49,NA,73,128,11,25,280,52,11,109,96,82,754,126,41,485,89,140,151,297,325,130,21,578,94,32,797,174,22,56,NA,NA,693,114,21,2,NA,47,7,NA,NA,555,NA,947,NA,NA,NA
2020-03-31,14,132,NA,339,20,110,7,34,105,84,81,453,14,73,937,373,60,NA,53,296,13,27,266,84,7,130,29,15,NA,NA,111,NA,90,191,158,405,389,230,17,557,NA,55,868,247,28,53,NA,NA,756,80,37,11,NA,65,NA,NA,NA,821,NA,NA,NA,NA,NA
2020-04-01,10,124,NA,376,34,148,33,48,166,46,125,469,21,52,986,406,54,NA,60,254,25,38,348,154,21,199,153,61,NA,521,89,NA,136,86,210,444,731,234,29,429,91,49,NA,325,41,48,NA,NA,962,78,28,8,4,47,NA,NA,NA,940,NA,NA,NA,NA,NA
2020-04-02,4,185,NA,386,27,218,24,40,179,90,62,601,20,65,715,474,70,NA,53,253,12,36,355,160,36,180,165,99,NA,710,90,NA,104,273,261,162,672,222,26,267,67,25,NA,346,32,64,NA,NA,NA,91,17,5,2,30,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,10,171,NA,445,34,122,5,92,56,73,172,381,12,85,NA,398,68,NA,47,279,14,33,410,109,22,186,259,55,NA,483,61,NA,181,236,146,222,661,306,20,NA,104,57,NA,427,56,61,NA,NA,NA,54,51,2,NA,62,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,14,250,NA,392,32,64,NA,48,228,100,182,625,25,87,NA,516,78,NA,76,178,13,44,427,171,25,196,104,5,NA,552,86,NA,97,309,217,254,780,395,45,362,145,143,NA,367,24,81,NA,NA,NA,95,72,9,NA,74,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,14,250,NA,385,20,24,NA,81,94,69,177,393,10,82,899,458,49,NA,70,76,21,40,304,93,28,155,208,110,805,264,38,514,183,183,132,312,702,230,42,399,96,80,764,484,14,48,NA,NA,NA,116,51,19,NA,23,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,6,187,898,222,16,69,54,62,117,64,70,400,13,78,NA,533,98,NA,51,355,18,46,407,75,48,173,165,74,NA,667,53,NA,100,285,183,169,464,241,21,NA,99,110,NA,436,29,46,NA,NA,NA,160,31,1,NA,38,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,22,119,NA,257,23,40,19,108,134,49,63,298,11,102,NA,563,55,NA,83,315,12,69,332,145,32,138,191,70,875,NA,141,NA,177,351,185,336,986,455,67,875,114,145,NA,326,20,32,NA,NA,NA,147,32,8,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08,13,151,NA,226,25,22,13,71,231,58,110,415,9,97,NA,436,146,NA,85,290,14,41,366,52,73,178,172,3,NA,NA,197,746,88,205,135,224,NA,312,50,NA,229,188,NA,NA,18,41,NA,NA,NA,221,30,4,3,47,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09,9,292,NA,547,7,121,22,124,138,82,128,511,9,125,NA,408,60,NA,88,212,18,58,364,160,54,129,469,146,NA,685,106,NA,257,225,240,272,877,397,61,NA,83,93,NA,656,23,31,NA,NA,NA,277,23,3,NA,63,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,11,94,NA,308,23,43,11,102,128,50,126,279,14,118,NA,556,60,NA,94,260,9,71,324,110,89,183,170,56,NA,917,241,970,209,257,273,228,NA,467,51,754,137,117,NA,783,26,66,NA,NA,NA,288,51,2,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11,11,281,NA,383,21,11,12,83,116,76,104,337,8,122,NA,528,102,NA,91,225,15,56,351,74,90,145,254,26,NA,778,147,761,173,404,142,252,890,568,17,972,118,153,NA,726,30,44,NA,NA,NA,334,32,3,NA,63,5,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,15,146,NA,410,13,19,10,71,136,80,97,187,9,77,NA,493,69,645,194,136,15,110,331,102,104,128,321,52,909,289,123,581,139,208,112,194,923,197,20,525,97,146,NA,531,17,56,NA,NA,NA,316,16,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-13,5,163,554,388,5,27,7,100,135,57,60,127,5,123,NA,308,39,997,29,228,23,57,363,99,138,87,220,130,NA,NA,85,421,161,296,120,302,422,473,22,NA,80,136,NA,711,65,35,NA,NA,NA,311,21,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-14,8,104,990,250,13,11,5,62,117,49,49,156,7,189,NA,291,50,NA,45,298,10,30,272,115,120,127,150,88,609,957,162,502,145,208,114,213,718,424,61,608,103,165,NA,536,36,71,NA,NA,NA,275,4,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-15,8,156,NA,339,13,123,5,77,123,30,130,89,6,96,NA,428,68,NA,114,209,24,51,475,79,180,166,196,101,891,682,81,433,273,99,103,256,868,329,24,766,139,88,NA,560,36,48,NA,NA,NA,278,7,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-16,7,272,NA,395,11,22,11,113,110,73,141,280,8,146,NA,587,94,NA,103,216,28,114,611,94,143,154,255,21,821,NA,138,581,264,342,275,183,963,389,21,NA,153,61,NA,752,26,72,NA,NA,NA,309,9,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-17,9,273,NA,372,12,46,7,114,203,49,122,382,9,191,NA,612,117,760,159,172,46,72,619,108,100,170,168,75,NA,NA,93,586,169,394,155,327,916,602,36,925,126,248,NA,788,31,76,NA,NA,NA,339,11,1,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-18,5,212,NA,386,21,13,4,87,102,59,126,167,4,181,NA,487,85,768,142,234,89,149,NA,105,131,154,151,44,739,409,185,462,181,281,160,173,889,562,50,741,190,215,NA,736,20,55,NA,NA,NA,314,24,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-19,5,210,NA,297,6,4,7,47,102,66,138,178,4,389,NA,569,59,633,143,150,57,187,NA,29,93,147,180,42,822,316,253,348,300,353,131,308,663,484,65,412,127,NA,NA,522,20,50,NA,NA,NA,215,9,NA,1,95,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-20,2,135,645,376,4,64,NA,126,102,46,144,295,4,257,NA,476,137,576,114,140,42,175,NA,81,50,153,175,190,744,790,90,595,238,271,62,168,535,453,18,NA,134,207,NA,854,8,55,NA,NA,948,384,4,NA,NA,39,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-21,8,187,NA,341,2,30,4,101,107,46,83,197,5,482,NA,411,39,967,97,134,17,73,734,127,70,121,249,19,811,934,142,331,204,187,169,156,738,461,21,545,171,186,NA,509,13,44,NA,NA,NA,410,2,2,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-22,6,208,NA,431,6,36,2,138,144,57,149,212,4,107,NA,341,186,999,154,196,35,91,359,87,103,225,262,402,707,859,181,404,178,269,153,448,873,501,34,NA,108,269,NA,582,19,97,NA,NA,NA,341,5,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,2,310,NA,-670,4,34,3,169,127,68,167,259,6,176,NA,601,271,NA,221,184,30,311,533,123,98,207,243,207,NA,772,108,481,259,388,156,424,875,675,18,631,155,108,NA,962,30,82,NA,NA,NA,415,2,2,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,2,276,NA,787,5,34,2,142,190,50,170,224,17,521,NA,641,295,NA,243,304,39,297,439,104,84,304,194,211,885,635,298,401,281,444,153,460,862,542,29,821,167,134,NA,879,28,50,NA,NA,NA,443,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,NA,235,NA,538,3,17,1,139,141,76,166,342,13,647,NA,715,279,562,261,201,55,311,402,72,107,331,187,99,306,548,126,372,284,571,183,463,967,733,15,661,171,134,NA,NA,25,67,NA,NA,NA,430,16,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,2,246,NA,447,2,10,3,66,63,58,175,202,8,383,NA,617,118,575,156,171,64,296,377,60,65,224,208,92,689,706,169,261,193,207,237,478,858,586,28,687,142,458,NA,815,25,77,NA,NA,NA,310,8,1,NA,-45,4,NA,NA,NA,NA,619,NA,NA,NA
2020-04-27,4,190,NA,394,1,20,1,97,88,43,110,165,19,393,NA,949,154,432,214,174,75,330,339,27,33,170,118,68,610,372,72,295,183,312,123,251,666,548,24,728,51,128,NA,906,8,74,NA,NA,885,269,4,2,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,6,232,NA,367,2,35,2,151,115,31,110,156,7,508,NA,627,163,NA,365,132,49,16,429,130,68,208,211,58,708,994,229,218,248,426,122,134,874,758,18,315,102,413,NA,626,17,72,NA,NA,NA,218,7,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,4,254,NA,407,4,32,NA,239,93,61,152,228,8,467,NA,594,247,NA,463,122,42,410,473,63,60,231,175,80,347,856,164,374,227,380,146,314,883,534,14,455,112,80,NA,736,16,44,NA,NA,NA,321,NA,NA,NA,33,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,NA,446,NA,489,5,31,2,198,100,64,177,257,11,302,NA,653,500,980,492,137,34,497,684,145,76,334,143,48,497,410,169,341,246,561,214,369,NA,852,16,933,217,79,NA,893,39,92,NA,NA,NA,374,4,1,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,9,314,NA,441,1,20,NA,102,229,69,156,310,5,739,NA,795,211,977,594,273,40,557,677,130,76,460,226,66,NA,990,171,710,397,414,163,NA,NA,929,26,NA,335,184,NA,NA,28,164,NA,NA,NA,341,13,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,1,402,NA,420,1,26,2,219,84,56,153,366,9,757,NA,665,297,851,498,319,46,488,575,103,63,346,317,51,735,NA,NA,429,229,586,231,770,NA,870,33,523,139,120,NA,NA,29,119,NA,NA,NA,327,7,2,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,3,276,NA,399,NA,18,NA,118,115,45,194,182,6,528,NA,638,284,547,435,232,38,333,557,121,43,304,114,59,615,469,251,200,109,155,137,516,NA,894,7,NA,219,170,NA,989,33,89,NA,NA,962,188,11,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,2,279,NA,272,1,27,2,181,65,79,142,277,9,534,NA,574,215,196,571,368,34,424,515,72,37,272,173,27,819,409,115,333,327,184,131,394,784,767,15,686,154,80,NA,946,-49,70,NA,NA,825,175,5,NA,NA,35,NA,NA,NA,877,NA,NA,NA,NA,NA
2020-05-05,1,386,NA,431,4,21,-1,107,103,80,132,132,8,408,NA,526,213,447,617,162,41,355,463,83,53,330,308,67,542,549,577,323,330,408,84,119,NA,717,32,648,152,83,NA,709,14,48,NA,NA,865,281,5,1,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-06,1,402,NA,412,1,31,NA,153,69,77,146,311,27,293,NA,837,276,657,728,186,57,333,553,74,58,335,485,86,563,NA,112,403,217,502,95,248,NA,NA,10,374,139,407,NA,NA,24,104,NA,NA,888,272,1,2,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-07,2,238,NA,520,3,20,NA,202,103,73,129,326,4,655,NA,633,410,592,786,239,48,419,507,129,126,314,207,54,826,698,194,253,262,639,206,158,968,NA,39,789,193,161,NA,NA,57,103,NA,NA,NA,325,8,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA
